lap,position,gap_ahead,gap_behind,tyre_age,pace_delta,pit_stops,weather,final_position
48,14,6.483842779820907,3.6935301199983295,1,-0.4029041480356721,0,1,13.0
61,15,4.011795985353882,8.804867605954367,24,0.8474862625332971,2,0,17.0
38,9,7.160748144497916,7.281178842325089,14,-0.5403873171546698,2,1,8.0
24,15,2.072231221451126,1.2146456186390253,4,0.4990328303135614,2,1,15.0
52,17,8.913128526098127,4.137002540621011,5,0.2611184686914767,2,1,17.0
17,4,2.9453550050092394,8.875165583405403,11,0.49919888224152453,1,0,5.0
30,12,3.741081278785914,0.5672473468040521,24,-0.12530485513481038,1,0,13.0
48,5,0.6751103255954629,9.618024534456291,28,0.8652821251079692,2,1,7.0
67,5,1.2039709019806364,6.8237094263636715,23,0.2649444048229548,0,1,6.0
28,11,5.207032836852049,6.350622178669429,13,-0.4234083908914874,2,1,11.0
32,6,2.749167499606918,2.778536639231115,16,0.27691014130428737,0,1,6.0
20,7,8.371254234847724,2.563038708517853,24,-0.42636850558593764,0,0,6.0
20,14,0.24546454768404305,9.426376372937096,13,-0.4127352164802516,0,1,13.0
33,11,3.8530310818521682,3.0528972969178154,24,-0.2008029767582642,1,0,12.0
62,13,3.4397209130140176,7.777502437518094,22,0.7048608351382379,0,1,16.0
45,2,0.2913435460842503,3.9919058022500837,26,0.0005957487879839629,0,1,3.0
49,7,1.3312471501050513,1.4786153007685694,2,0.3578016844604148,1,0,9.0
33,20,4.19506248169449,0.2060814471840536,16,-0.21606451945107397,0,1,20.0
12,4,4.979359386029722,5.488147636450983,6,-0.4727891203862371,0,1,3.0
31,8,4.102468497823204,9.760210303634434,14,0.9092803214324627,2,1,9.0
62,20,5.356283016279729,3.7544483187111246,1,0.2071624942461252,0,1,20.0
11,19,5.991803581566248,3.636204106531144,17,0.8679026771654366,0,0,19.0
33,13,0.19824582916557276,3.506507016709477,11,-0.5931739956033699,0,1,13.0
53,14,4.694542078589689,5.253383989318099,19,-0.7062116721741345,0,1,13.0
39,10,9.638642484787125,4.462582345900507,3,0.7116458142478073,0,0,12.0
47,11,5.238419573282533,8.811154804597443,11,0.36183442523450293,1,1,11.0
11,2,6.8076684478436365,5.104655838062554,29,-0.6268430014927173,0,0,3.0
69,9,3.187452193377144,5.126802598066831,5,-0.4612805986729245,0,1,8.0
30,17,7.76251464371235,1.4698787877335104,17,0.6013278830506223,1,1,18.0
42,3,7.751922670573539,9.829121455012821,26,-0.09226276000812783,1,1,4.0
21,6,5.260830871775976,2.574731619601414,22,0.34108101301218174,0,0,8.0
67,5,9.762536850464215,0.8263042678500664,7,-0.36329595572797824,0,0,4.0
31,5,1.3429471261502686,6.665147864854568,10,-0.2375400944502466,0,1,5.0
53,15,0.26778188240685186,5.994127064553039,28,0.9814251172462101,2,0,16.0
34,17,7.724566296395251,4.209941974528183,29,-0.5047658256505629,2,1,18.0
58,9,8.090839819912338,4.279703115418713,11,0.012912754073028054,0,0,9.0
36,3,1.2900515682937048,7.8721328183596695,3,0.6888046863810644,1,1,3.0
68,20,2.7292700462902,2.037555136986526,20,-0.5215535726682841,0,0,18.0
51,17,0.2737683973296262,8.22050785755441,10,-0.16957248663133861,1,1,17.0
37,10,3.0037552467275908,6.52259642756068,27,0.2301825747399766,1,0,11.0
69,3,7.754104551794848,4.247800760417292,10,-0.03762369704979496,1,0,3.0
25,18,5.227809224354532,4.634483304180299,14,-0.0809954668593651,0,0,18.0
24,18,3.546146372366052,2.6408073511423487,12,-0.2749805373557528,0,0,18.0
56,17,3.78021901957267,7.545931893700051,15,0.17329265554985018,1,1,17.0
60,3,0.11340089458313474,5.177459948822151,10,0.24874539584722055,2,1,3.0
53,3,3.0680252228958356,3.2764599732234516,10,0.3065790818027252,2,0,3.0
64,6,6.499941542215512,6.000896146033408,26,-0.8592637841879414,2,1,7.0
61,13,9.744524993781935,9.957771075308099,19,0.2620683514240978,1,0,13.0
66,15,8.485902187140605,4.4090965685998835,1,0.9064743575624656,0,1,16.0
12,9,0.3335901499907384,9.214844867708333,24,0.08197247105616734,1,0,10.0
46,4,8.99574998628091,3.5156667152532046,29,0.4305341650184886,2,1,5.0
60,14,7.853664291656397,0.6418537985573602,26,0.11346461551843556,0,1,15.0
16,5,7.825723623352706,2.121996853047446,10,0.7094812371839574,1,0,5.0
30,2,4.634158014135358,4.245081918944074,2,0.8591661891951379,1,0,2.0
18,11,4.040252400249578,2.2743857930862332,17,-0.6315602014072814,2,0,10.0
48,9,3.098865715448607,0.10224767836072983,24,-0.12627992688574685,1,0,10.0
27,3,0.7503791036482212,9.15851522370052,7,-0.2152357981345574,0,0,3.0
13,9,2.359530098587621,8.454406171186198,7,-0.18956975340144266,2,1,9.0
34,3,2.5413759862824437,7.448693091720776,20,-0.7489516375442482,2,0,3.0
69,2,4.892362990130996,1.7613644968956834,27,0.6272314519614386,0,1,3.0
23,12,7.4996996253072705,1.291599404478862,9,-0.9284675139701295,2,0,10.0
59,10,4.790717301139671,0.7692870197765932,22,0.05645321545431381,1,1,11.0
67,9,0.6726600495268901,7.267888968851921,2,0.32375677608938247,1,1,11.0
18,15,9.582119029783218,9.295198810810065,14,-0.5850611238822456,2,0,13.0
35,8,9.432970759031711,4.362304627039066,17,0.8117003841975912,0,0,10.0
62,5,7.873376477169243,1.279492652760877,1,0.6770984140495862,1,1,6.0
11,11,9.914146225485784,5.172688925247855,9,-0.05783254103214941,0,1,11.0
29,2,5.490375094722603,3.5534358838404385,20,-0.17770213531972257,1,0,2.0
37,15,9.63140666750674,3.8107667510649774,21,-0.5268641495777999,1,1,14.0
